query,chapter,chapterid,relevance
Who has received prophecies from God?,Acts 19,1037,5
Who has received prophecies from God?,Psalms 20,498,1
Who has received prophecies from God?,Luke 24,997,5
Who has received prophecies from God?,Psalms 24,502,1
Who has received prophecies from God?,Acts 5,1023,1
Who has received prophecies from God?,Mark 16,973,1
Who has received prophecies from God?,2 Peter 1,1157,5
Who has received prophecies from God?,2 Chronicles 1,368,3
Who has received prophecies from God?,Job 26,462,1
Who has received prophecies from God?,Numbers 3,120,2
Who has received prophecies from God?,Job 2,438,1
Who has received prophecies from God?,Hebrews 1,1134,3
Who has received prophecies from God?,Acts 24,1042,1
Who has received prophecies from God?,Proverbs 30,658,1
Who has received prophecies from God?,John 3,1000,4
Who has received prophecies from God?,Jude 1,1167,3
Who has received prophecies from God?,Romans 1,1047,1
Who has received prophecies from God?,Job 32,468,1
Who has received prophecies from God?,Deuteronomy 18,171,4
Who has received prophecies from God?,Isaiah 53,732,3
Who has received prophecies from God?,1 Thessalonians 1,1112,1
Who has received prophecies from God?,1 Peter 1,1152,3
Who has received prophecies from God?,1 Samuel 12,248,5
Who has received prophecies from God?,Acts 7,1025,4
Who has received prophecies from God?,Acts 10,1028,5
Who has received prophecies from God?,Jeremiah 7,752,3
Who has received prophecies from God?,Revelation 2,1169,3
Who has received prophecies from God?,1 John 5,1164,1
Who has received prophecies from God?,Acts 12,1030,2
Who has received prophecies from God?,Zechariah 3,914,5
Who has received prophecies from God?,Colossians 1,1108,1
Who has received prophecies from God?,Matthew 14,943,1
Who has received prophecies from God?,Numbers 26,143,2
Who has received prophecies from God?,1 Samuel 5,241,1
Who has received prophecies from God?,Hebrews 7,1140,1
Who has received prophecies from God?,Revelation 20,1187,3
Who has received prophecies from God?,Deuteronomy 29,182,1
Who has received prophecies from God?,Ezekiel 20,822,3
Who has received prophecies from God?,Luke 20,993,2
Who has received prophecies from God?,Leviticus 10,100,1
Who has received prophecies from God?,1 Thessalonians 3,1114,1
Who has received prophecies from God?,Hebrews 9,1142,1
Who has received prophecies from God?,1 Corinthians 15,1077,1
Who has received prophecies from God?,Judges 6,217,5
Who has received prophecies from God?,Romans 4,1050,5
Who has received prophecies from God?,Daniel 7,857,5
Who has received prophecies from God?,Genesis 48,48,5
Who has received prophecies from God?,Acts 13,1031,4
Who has received prophecies from God?,Psalms 54,532,1
Who has received prophecies from God?,Acts 11,1029,5
Who has received prophecies from God?,Deuteronomy 13,166,5
Who has received prophecies from God?,Genesis 7,7,5
Who has received prophecies from God?,Genesis 12,12,5
Who has received prophecies from God?,Genesis 49,49,5
Who has received prophecies from God?,Exodus 3,53,5
Who has received prophecies from God?,Joshua 1,188,5
Who has received prophecies from God?,Judges 4,215,5
Who has received prophecies from God?,1 Samuel 3,239,5
Who has received prophecies from God?,1 Samuel 22,258,5
Who has received prophecies from God?,2 Chronicles 15,382,5
Who has received prophecies from God?,2 Kings 2,315,5
Who has received prophecies from God?,Jonah 1,890,5
Who has received prophecies from God?,Hosea 2,864,5
Who has received prophecies from God?,Luke 1,974,5
Who has received prophecies from God?,Revelation 11,1178,5
Who has received prophecies from God?,Revelation 1,1168,5
Who has received prophecies from God?,Genesis 15,15,5
Who has received prophecies from God?,Genesis 17,17,5
Who has received prophecies from God?,Genesis 28,28,5
Who has received prophecies from God?,Exodus 4,54,5
Who has received prophecies from God?,Numbers 12,129,4
Who has received prophecies from God?,2 Samuel 7,274,5
Who has received prophecies from God?,1 Kings 19,310,5
Who has received prophecies from God?,2 Kings 20,333,5
Who has received prophecies from God?,Isaiah 6,685,5
Who has received prophecies from God?,Jeremiah 1,746,5
Who has received prophecies from God?,Ezekiel 1,803,5
Who has received prophecies from God?,Ezekiel 2,804,5
Who has received prophecies from God?,Daniel 8,858,5
Who has received prophecies from God?,Daniel 9,859,5
