query,chapter,chapterid,relevance
Where did Paul travel to spread the good news?,Acts 20,1038,5
Where did Paul travel to spread the good news?,Acts 19,1037,5
Where did Paul travel to spread the good news?,Galatians 1,1092,5
Where did Paul travel to spread the good news?,Colossians 1,1108,4
Where did Paul travel to spread the good news?,Acts 18,1036,5
Where did Paul travel to spread the good news?,Romans 1,1047,4
Where did Paul travel to spread the good news?,Ephesians 1,1098,4
Where did Paul travel to spread the good news?,Acts 21,1039,5
Where did Paul travel to spread the good news?,Acts 8,1026,1
Where did Paul travel to spread the good news?,Titus 1,1130,3
Where did Paul travel to spread the good news?,Acts 25,1043,3
Where did Paul travel to spread the good news?,Matthew 9,938,1
Where did Paul travel to spread the good news?,Philemon 1,1133,4
Where did Paul travel to spread the good news?,1 Corinthians 1,1063,4
Where did Paul travel to spread the good news?,Acts 17,1035,5
Where did Paul travel to spread the good news?,2 Timothy 1,1126,3
Where did Paul travel to spread the good news?,Luke 2,975,1
Where did Paul travel to spread the good news?,Acts 28,1046,5
Where did Paul travel to spread the good news?,Acts 13,1031,5
Where did Paul travel to spread the good news?,Jonah 3,892,1
Where did Paul travel to spread the good news?,2 Kings 6,319,1
Where did Paul travel to spread the good news?,Acts 24,1042,3
Where did Paul travel to spread the good news?,1 Timothy 1,1120,4
Where did Paul travel to spread the good news?,Isaiah 6,685,1
Where did Paul travel to spread the good news?,Acts 27,1045,5
Where did Paul travel to spread the good news?,Matthew 2,931,1
Where did Paul travel to spread the good news?,Luke 9,982,1
Where did Paul travel to spread the good news?,Luke 8,981,1
Where did Paul travel to spread the good news?,Mark 2,959,1
Where did Paul travel to spread the good news?,Acts 16,1034,5
Where did Paul travel to spread the good news?,2 Samuel 24,291,1
Where did Paul travel to spread the good news?,Acts 14,1032,5
Where did Paul travel to spread the good news?,John 7,1004,1
Where did Paul travel to spread the good news?,2 Corinthians 1,1079,4
Where did Paul travel to spread the good news?,Luke 24,997,1
Where did Paul travel to spread the good news?,1 Chronicles 13,351,1
Where did Paul travel to spread the good news?,2 Samuel 15,282,1
Where did Paul travel to spread the good news?,Matthew 11,940,1
