query,chapter,chapterid,relevance
Where does God lead his people to?,Psalms 24,502,1
Where does God lead his people to?,Jeremiah 23,768,3
Where does God lead his people to?,Psalms 47,525,4
Where does God lead his people to?,2 Samuel 24,291,1
Where does God lead his people to?,Psalms 99,577,4
Where does God lead his people to?,Matthew 4,933,5
Where does God lead his people to?,Psalms 23,501,5
Where does God lead his people to?,Jonah 3,892,5
Where does God lead his people to?,Psalms 11,489,3
Where does God lead his people to?,Psalms 118,596,5
Where does God lead his people to?,Romans 11,1057,4
Where does God lead his people to?,Jeremiah 7,752,2
Where does God lead his people to?,Exodus 5,55,2
Where does God lead his people to?,Revelation 1,1168,5
Where does God lead his people to?,Psalms 46,524,5
Where does God lead his people to?,Psalms 67,545,1
Where does God lead his people to?,Isaiah 31,710,2
Where does God lead his people to?,2 Kings 3,316,4
Where does God lead his people to?,Isaiah 41,720,5
Where does God lead his people to?,Psalms 95,573,3
Where does God lead his people to?,Numbers 21,138,5
Where does God lead his people to?,Mark 1,958,4
Where does God lead his people to?,Exodus 9,59,3
Where does God lead his people to?,Psalms 68,546,5
Where does God lead his people to?,Psalms 98,576,2
Where does God lead his people to?,John 7,1004,1
Where does God lead his people to?,Exodus 15,65,5
Where does God lead his people to?,Matthew 2,931,5
Where does God lead his people to?,1 Peter 5,1156,4
Where does God lead his people to?,Isaiah 3,682,2
Where does God lead his people to?,Deuteronomy 33,186,5
Where does God lead his people to?,Jeremiah 26,771,1
Where does God lead his people to?,Jeremiah 22,767,1
Where does God lead his people to?,Psalms 107,585,5
Where does God lead his people to?,Deuteronomy 29,182,5
Where does God lead his people to?,Psalms 106,584,4
Where does God lead his people to?,Exodus 11,61,2
Where does God lead his people to?,2 Samuel 15,282,3
Where does God lead his people to?,Judges 7,218,3
Where does God lead his people to?,Matthew 18,947,5
Where does God lead his people to?,Psalms 80,558,4
Where does God lead his people to?,Psalms 108,586,3
Where does God lead his people to?,Isaiah 43,722,5
Where does God lead his people to?,Jeremiah 44,789,1
Where does God lead his people to?,Exodus 17,67,5
Where does God lead his people to?,Isaiah 66,745,4
Where does God lead his people to?,Romans 10,1056,1
Where does God lead his people to?,Psalms 87,565,1
Where does God lead his people to?,Psalms 97,575,5
Where does God lead his people to?,Acts 18,1036,1
Where does God lead his people to?,Exodus 13,63,5
